1,0
2,0
3,0
4,0
5,0
6,7
7,3
8,0
9,0
10,0
31,1
32,1
33,1
34,2
35,5
36,0
37,0
38,0
39,0
40,0
61,29
62,20
63,21
64,32
65,65
66,51
67,54
68,56
69,61
70,69
71,75
72,67
73,64
74,62
75,75
76,64
77,51
78,53
79,42
80,35
91,79
92,109
93,118
94,106
95,90
96,105
97,95
98,79
99,72
100,75
101,67
102,68
103,63
104,65
105,60
106,72
107,53
108,64
109,65
110,57
121,32
122,30
123,30
124,33
125,60
126,64
127,67
128,59
129,60
130,70
131,48
132,40
133,41
134,42
135,44
136,52
137,43
138,51
139,58
140,47
151,82
152,118
153,129
154,107
155,89
156,83
157,79
158,63
159,54
160,56
161,65
162,63
163,66
164,72
165,72
166,62
167,41
168,48
169,53
170,40
181,0
182,0
183,0
184,5
185,4
186,7
187,3
188,3
211,13
212,2
213,5
214,5
215,15
216,2
217,1
218,1
